acc,Acidobacteria,Actinobacteria,Apicomplexa,Aquificae,Armatimonadetes,Arthropoda,Artverviricota,Ascomycota,Bacteroidetes,Balneolaeota,Basidiomycota,Caldiserica,Calditrichaeota,Candidatus Cloacimonetes,Candidatus Melainabacteria,Candidatus Saccharibacteria,Candidatus Thermoplasmatota,Chlamydiae,Chlorobi,Chloroflexi,Chlorophyta,Chordata,Chrysiogenetes,Cnidaria,Coprothermobacterota,Crenarchaeota,Cressdnaviricota,Cyanobacteria,Deferribacteres,Deinococcus-Thermus,Dictyoglomi,Duplornaviricota,Elusimicrobia,Euryarchaeota,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Hofneiviricota,Ignavibacteriae,Kiritimatiellaeota,Kitrinoviricota,Lenarviricota,Lentisphaerae,Mollusca,Negarnaviricota,Nitrospinae,Nitrospirae,Nucleocytoviricota,Oomycota,Peploviricota,Phixviricota,Pisuviricota,Planctomycetes,Proteobacteria,Rhodothermaeota,Spirochaetes,Streptophyta,Synergistetes,Tenericutes,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,Uroviricota,Verrucomicrobia,class
SRR18588875,12.0,2887.0,0.0,0.0,1.0,0.0,0.0,0.0,86544.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,816.0,17.0,98052.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,80.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,2.0,6270.0,0.0,1.0,0.0,5.0,65.0,0.0,0.0,0.0,0.0,1705.0,1
SRR18588876,12.0,4564.0,0.0,0.0,0.0,0.0,0.0,0.0,71591.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,1574.0,30.0,120977.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,5947.0,0.0,0.0,0.0,5.0,131.0,0.0,0.0,0.0,0.0,5706.0,1
SRR18588877,16.0,1834.0,0.0,0.0,1.0,0.0,0.0,0.0,60917.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,5.0,0.0,0.0,0.0,1.0,179.0,18.0,67045.0,3.0,1.0,0.0,3.0,14.0,0.0,0.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,5196.0,1.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1828.0,1
SRR18588878,17.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,281686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,51209.0,6.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,1182.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,43.0,1
SRR18588879,14.0,968.0,0.0,0.0,0.0,0.0,0.0,0.0,288207.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37307.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7225.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,1
SRR18588880,0.0,4971.0,0.0,0.0,0.0,0.0,0.0,0.0,91489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114757.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,11557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.0,1
SRR18588881,10.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,346918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15632.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,30050.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,1
SRR18588882,7.0,4923.0,0.0,0.0,1.0,0.0,0.0,0.0,140507.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,159407.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,350.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,1
SRR18588883,12.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,133370.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,375.0,0.0,89657.0,3.0,0.0,0.0,8.0,1.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,8442.0,0.0,1.0,0.0,60.0,7.0,0.0,1.0,0.0,0.0,56.0,1
SRR18588884,19.0,527.0,0.0,1.0,0.0,0.0,0.0,0.0,235502.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,185.0,0.0,108511.0,6.0,0.0,0.0,8.0,4.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,11658.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,78.0,1
SRR18588885,10.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,212417.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,50759.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4901.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4161.0,1
SRR18588886,11.0,7947.0,0.0,1.0,0.0,0.0,0.0,0.0,234805.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,117455.0,9.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,15783.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,459.0,1
SRR18588887,13.0,8529.0,0.0,0.0,0.0,0.0,0.0,0.0,108119.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,200737.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,777.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2500.0,1
SRR18588888,10.0,2135.0,0.0,1.0,1.0,0.0,0.0,0.0,155406.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71486.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2663.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1048.0,1
