acc,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chitinophagia,Clostridia,Coriobacteriia,Cytophagia,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Ignavibacteria,Magnoliopsida,Mammalia,Methanobacteria,Negativicutes,Nitrospira,Spirochaetia,Synergistia,class
SRR11807201,123.0,0.0,512.0,72.0,0.0,0.0,24243.0,5676.0,3.0,0.0,0.0,1744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807202,47.0,0.0,534.0,342.0,0.0,0.0,33455.0,919.0,0.0,0.0,0.0,1191.0,0.0,0.0,30788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807203,455.0,0.0,387.0,478.0,0.0,0.0,34035.0,5469.0,3.0,0.0,0.0,588.0,0.0,0.0,32102.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR11807204,0.0,0.0,1750.0,0.0,0.0,0.0,809.0,0.0,0.0,0.0,0.0,6210.0,0.0,1.0,38038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807205,0.0,0.0,456.0,444.0,0.0,0.0,861.0,0.0,0.0,0.0,0.0,30.0,0.0,2565.0,6394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807206,54.0,0.0,522.0,388.0,33.0,0.0,11850.0,3.0,0.0,0.0,0.0,1008.0,0.0,1338.0,25956.0,0.0,0.0,0.0,0.0,1210.0,0.0,0.0,0.0,1
SRR11807207,84.0,359.0,313.0,0.0,0.0,0.0,160169.0,14132.0,1.0,0.0,0.0,2277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807208,136.0,0.0,413.0,0.0,0.0,0.0,98630.0,8074.0,0.0,0.0,0.0,2837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807209,133.0,0.0,526.0,31.0,0.0,0.0,54872.0,9852.0,0.0,0.0,0.0,2043.0,0.0,0.0,28351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807210,341.0,0.0,251.0,0.0,0.0,4.0,76467.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,52636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
