acc,Actinomycetales,Bacillales,Bacteroidales,Burkholderiales,Campylobacterales,Candidatus Gastranaerophilales,Caulobacterales,Chitinophagales,Clostridiales,Coriobacteriales,Corynebacteriales,Cytophagales,Desulfobacterales,Desulfuromonadales,Eggerthellales,Enterobacterales,Erysipelotrichales,Flavobacteriales,Fusobacteriales,Holosporales,Ignavibacteriales,Lactobacillales,Magnetococcales,Methanobacteriales,Micrococcales,Myxococcales,Nautiliales,Neisseriales,Nitrospirales,Nostocales,Propionibacteriales,Pseudomonadales,Rhizobiales,Rhodobacterales,Rhodospirillales,Sphingomonadales,Spirochaetales,Synergistales,Thiotrichales,Veillonellales,Vibrionales,Xanthomonadales,class
SRR11807140,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,35480.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,731.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807141,0.0,79.0,0.0,2.0,0.0,0.0,0.0,0.0,29962.0,42.0,0.0,0.0,0.0,0.0,368.0,0.0,26.0,0.0,0.0,0.0,0.0,707.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807142,58.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,39433.0,98.0,0.0,0.0,0.0,0.0,2.0,32991.0,10.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807143,0.0,26.0,58.0,0.0,1.0,0.0,0.0,0.0,13083.0,0.0,0.0,0.0,5.0,0.0,95.0,0.0,17103.0,0.0,0.0,0.0,0.0,340.0,0.0,17324.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1
SRR11807144,15.0,316.0,290.0,20.0,0.0,0.0,0.0,0.0,29216.0,1193.0,0.0,0.0,0.0,0.0,90.0,0.0,3552.0,0.0,0.0,0.0,0.0,10357.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807145,0.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,30165.0,1726.0,0.0,0.0,0.0,0.0,266.0,0.0,3257.0,0.0,0.0,0.0,0.0,431.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1
SRR11807146,31.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,26426.0,533.0,0.0,0.0,0.0,0.0,103.0,0.0,1587.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807147,24.0,394.0,44.0,0.0,0.0,0.0,0.0,0.0,31200.0,167.0,0.0,0.0,0.0,0.0,107.0,1021.0,49.0,0.0,0.0,0.0,0.0,865.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807148,0.0,69.0,123.0,0.0,0.0,0.0,0.0,0.0,29097.0,97.0,0.0,0.0,0.0,0.0,106.0,0.0,21.0,0.0,0.0,0.0,0.0,330.0,1.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807149,40.0,41.0,160.0,0.0,0.0,0.0,0.0,0.0,21082.0,246.0,0.0,0.0,0.0,0.0,212.0,0.0,288.0,0.0,0.0,0.0,0.0,471.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807150,90.0,23.0,267.0,0.0,0.0,0.0,0.0,0.0,22999.0,3401.0,0.0,0.0,0.0,0.0,179.0,0.0,1203.0,0.0,0.0,0.0,0.0,1319.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807151,80.0,334.0,4.0,0.0,0.0,0.0,0.0,0.0,40947.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,179.0,0.0,0.0,0.0,0.0,3615.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807152,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,18930.0,122.0,0.0,1.0,0.0,0.0,291.0,0.0,328.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807153,0.0,102.0,65.0,13.0,0.0,0.0,0.0,0.0,35745.0,54.0,0.0,0.0,0.0,0.0,114.0,0.0,50.0,0.0,0.0,0.0,0.0,1190.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807154,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,33589.0,21.0,0.0,0.0,0.0,0.0,401.0,0.0,752.0,0.0,0.0,0.0,0.0,542.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807155,0.0,19.0,7213.0,0.0,0.0,0.0,0.0,0.0,69717.0,27.0,0.0,0.0,0.0,5.0,232.0,0.0,531.0,0.0,0.0,0.0,0.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807156,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,59723.0,61.0,0.0,0.0,0.0,0.0,1008.0,176.0,336.0,0.0,0.0,0.0,0.0,469.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807157,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,56028.0,54.0,0.0,0.0,0.0,0.0,1127.0,0.0,59.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24469.0,102.0,0.0,0.0,0.0,0.0,751.0,0.0,132.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807159,22.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,49548.0,77.0,0.0,0.0,0.0,0.0,299.0,2350.0,0.0,0.0,0.0,0.0,0.0,294.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807160,0.0,51.0,37.0,0.0,0.0,0.0,0.0,0.0,38024.0,146.0,0.0,0.0,0.0,0.0,2754.0,1767.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807161,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,48623.0,132.0,0.0,4.0,0.0,0.0,465.0,14692.0,1.0,0.0,0.0,0.0,0.0,306.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807162,7.0,160.0,140.0,0.0,0.0,0.0,0.0,0.0,33710.0,57.0,0.0,0.0,0.0,0.0,0.0,1211.0,287.0,0.0,0.0,0.0,0.0,511.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807163,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,34360.0,87.0,0.0,0.0,0.0,0.0,1229.0,0.0,1520.0,3.0,0.0,0.0,0.0,408.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807164,35.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,12689.0,598.0,0.0,1.0,0.0,0.0,0.0,677.0,1044.0,0.0,0.0,0.0,0.0,557.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807165,0.0,57.0,113.0,0.0,0.0,0.0,0.0,0.0,41532.0,72.0,0.0,0.0,0.0,0.0,3.0,0.0,807.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1
SRR11807166,0.0,261.0,97.0,0.0,0.0,0.0,0.0,0.0,23026.0,297.0,0.0,0.0,0.0,0.0,220.0,0.0,29.0,0.0,0.0,0.0,0.0,359.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807167,81.0,51.0,48.0,0.0,0.0,0.0,0.0,0.0,31427.0,1731.0,0.0,0.0,0.0,0.0,198.0,0.0,91.0,0.0,0.0,0.0,0.0,664.0,0.0,141.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807168,158.0,62.0,25.0,0.0,0.0,0.0,0.0,0.0,109634.0,420.0,0.0,0.0,0.0,0.0,162.0,0.0,32.0,0.0,0.0,0.0,0.0,1474.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
