acc,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Clostridiales,Coriobacteriales,Corynebacteriales,Cucurbitales,Cytophagales,Eggerthellales,Enterobacterales,Erysipelotrichales,Fusobacteriales,Lactobacillales,Legionellales,Micrococcales,Propionibacteriales,Pseudomonadales,Rhizobiales,Rhodobacterales,Xanthomonadales,class
SRR8980828,0.0,0.0,0.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980829,0.0,0.0,0.0,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980830,4.0,0.0,0.0,3820.0,0.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980831,0.0,0.0,0.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,102.0,0.0,0.0,1.0,1
SRR8980832,0.0,0.0,0.0,1888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980833,0.0,0.0,0.0,733.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980834,0.0,0.0,0.0,1074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980835,0.0,0.0,0.0,767.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980836,0.0,0.0,1.0,1260.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,260.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980837,0.0,0.0,0.0,1449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980838,0.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR8980839,2.0,0.0,1.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1
SRR8980840,0.0,0.0,0.0,752.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
