acc,Acidobacteriia,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Clostridia,Coriobacteriia,Cytophagia,Dehalococcoidia,Deinococci,Deltaproteobacteria,Elusimicrobia,Epsilonproteobacteria,Erysipelotrichia,Eurotiomycetes,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Methanobacteria,Mollicutes,Negativicutes,Spartobacteria,Spirochaetia,Synergistia,Tissierellia,class
SRR5796718,0.0,8.0,0.0,114.0,66.0,2.0,2800.0,211.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,577.0,0.0,1.0,0.0,1.0,0.0,4.0,9.0,1
SRR5796719,0.0,31.0,2.0,49.0,40.0,0.0,1061.0,80.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,25.0,1.0,5.0,0.0,0.0,11.0,1
SRR5796720,0.0,275.0,1.0,132.0,278.0,3.0,2508.0,67.0,0.0,2.0,0.0,4.0,0.0,0.0,16.0,0.0,1.0,3.0,2.0,0.0,4.0,1.0,0.0,0.0,3.0,6.0,1
SRR5796721,0.0,21.0,0.0,155.0,102.0,1.0,1090.0,151.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,259.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1
SRR5796722,0.0,82.0,0.0,196.0,271.0,0.0,1123.0,62.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,9.0,6.0,0.0,2.0,5.0,0.0,0.0,3.0,31.0,1
SRR5796723,0.0,72.0,0.0,124.0,744.0,1.0,1154.0,62.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,35.0,8.0,8.0,0.0,0.0,0.0,7.0,1
SRR5796724,0.0,49.0,2.0,2131.0,479.0,0.0,2375.0,243.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,587.0,0.0,12.0,5.0,0.0,0.0,4.0,11.0,1
SRR5796725,0.0,257.0,0.0,276.0,312.0,0.0,921.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,257.0,1.0,2.0,27.0,0.0,0.0,2.0,15.0,1
SRR5796726,0.0,343.0,0.0,258.0,177.0,0.0,4367.0,235.0,0.0,2.0,0.0,0.0,0.0,3.0,15.0,0.0,1.0,8.0,3.0,0.0,8.0,4.0,0.0,0.0,2.0,18.0,1
SRR5796727,0.0,77.0,0.0,438.0,330.0,0.0,1891.0,63.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,8.0,16.0,0.0,0.0,0.0,28.0,1
SRR5796728,0.0,1761.0,0.0,144.0,110.0,0.0,1407.0,141.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,13.0,324.0,0.0,9.0,43.0,0.0,0.0,1.0,23.0,1
SRR5796729,0.0,409.0,0.0,34.0,68.0,2.0,1040.0,54.0,0.0,1.0,0.0,2.0,3.0,0.0,17.0,0.0,1.0,0.0,197.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,1
SRR5796730,0.0,6.0,0.0,120.0,329.0,0.0,2080.0,118.0,1.0,4.0,0.0,0.0,6.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,10.0,8.0,1
SRR5796731,0.0,45.0,0.0,85.0,102.0,0.0,4548.0,140.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,7.0,460.0,40.0,5.0,2.0,0.0,0.0,2.0,10.0,1
SRR5796732,0.0,106.0,0.0,581.0,70.0,0.0,1376.0,32.0,0.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,3.0,51.0,1.0,0.0,6.0,18.0,1
SRR5796733,0.0,25.0,0.0,33.0,31.0,0.0,881.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1
SRR5796734,0.0,1169.0,0.0,90.0,45.0,0.0,1388.0,173.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,13.0,255.0,0.0,24.0,8.0,0.0,0.0,3.0,6.0,1
SRR5796735,0.0,58.0,0.0,36.0,44.0,0.0,7961.0,379.0,0.0,2.0,0.0,0.0,2.0,0.0,67.0,0.0,0.0,0.0,41.0,0.0,2.0,17.0,3.0,0.0,1.0,7.0,1
SRR5796736,0.0,345.0,0.0,77.0,35.0,0.0,2027.0,31.0,0.0,2.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,5.0,1
SRR5796737,0.0,263.0,2.0,258.0,249.0,0.0,10492.0,88.0,0.0,2.0,0.0,0.0,0.0,1.0,21.0,0.0,1.0,4.0,254.0,0.0,8.0,25.0,0.0,0.0,1.0,18.0,1
SRR5796738,0.0,53.0,0.0,98.0,65.0,1.0,3378.0,51.0,0.0,1.0,0.0,0.0,1.0,1.0,49.0,0.0,0.0,8.0,221.0,0.0,1.0,5.0,1.0,0.0,0.0,12.0,1
SRR5796739,0.0,148.0,0.0,257.0,421.0,4.0,1921.0,79.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,805.0,0.0,17.0,1.0,0.0,0.0,9.0,15.0,1
SRR5796740,0.0,69.0,0.0,76.0,125.0,0.0,2182.0,155.0,0.0,3.0,0.0,0.0,138.0,0.0,8.0,0.0,2.0,0.0,702.0,0.0,11.0,0.0,1.0,0.0,8.0,8.0,1
SRR5796741,0.0,1179.0,1.0,81.0,62.0,1.0,2399.0,82.0,0.0,2.0,0.0,0.0,0.0,0.0,69.0,0.0,1.0,0.0,316.0,0.0,5.0,3.0,4.0,0.0,0.0,14.0,1
SRR5796742,0.0,46.0,0.0,114.0,895.0,0.0,983.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1603.0,151.0,10.0,2.0,3.0,0.0,2.0,9.0,1
SRR5796743,0.0,77.0,0.0,318.0,405.0,0.0,2773.0,77.0,0.0,2.0,0.0,3.0,0.0,6.0,38.0,0.0,0.0,4.0,1.0,0.0,4.0,11.0,1.0,0.0,5.0,53.0,1
SRR5796744,0.0,27.0,1.0,101.0,49.0,3.0,1898.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,631.0,0.0,2.0,4.0,0.0,0.0,0.0,7.0,1
SRR5796745,0.0,25.0,0.0,104.0,81.0,0.0,2719.0,59.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0,0.0,1.0,0.0,42.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,1
SRR5796746,0.0,256.0,1.0,80.0,29.0,0.0,1931.0,140.0,0.0,0.0,0.0,2.0,0.0,2.0,194.0,0.0,1.0,0.0,470.0,0.0,14.0,29.0,1.0,0.0,12.0,15.0,1
SRR5796747,0.0,344.0,224.0,224.0,512.0,0.0,3995.0,116.0,0.0,2.0,1.0,0.0,0.0,2.0,46.0,0.0,0.0,4.0,404.0,0.0,3.0,57.0,0.0,0.0,9.0,14.0,1
SRR5796748,1.0,289.0,2.0,92.0,59.0,0.0,1117.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,12.0,223.0,0.0,15.0,5.0,0.0,0.0,2.0,11.0,1
SRR5796749,0.0,270.0,0.0,181.0,164.0,1.0,1740.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,189.0,0.0,1.0,4.0,0.0,0.0,5.0,3.0,1
SRR5796750,0.0,210.0,0.0,2877.0,39.0,0.0,1754.0,360.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,360.0,13.0,2.0,0.0,0.0,0.0,60.0,1
SRR5796751,0.0,346.0,0.0,292.0,75.0,1.0,4247.0,697.0,0.0,4.0,0.0,0.0,0.0,1.0,91.0,0.0,2.0,4.0,1.0,0.0,9.0,4.0,0.0,0.0,1.0,30.0,1
SRR5796752,0.0,162.0,4.0,927.0,266.0,0.0,2306.0,242.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,2.0,0.0,375.0,0.0,10.0,69.0,3.0,0.0,1.0,72.0,1
SRR5796753,0.0,233.0,0.0,74.0,51.0,1.0,1652.0,128.0,0.0,1.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,6069.0,0.0,7.0,0.0,1.0,0.0,1.0,3.0,1
SRR5796754,0.0,143.0,0.0,682.0,122.0,0.0,3121.0,201.0,0.0,6.0,0.0,0.0,1.0,0.0,52.0,0.0,0.0,0.0,6.0,0.0,11.0,47.0,2.0,0.0,4.0,27.0,1
SRR5796755,0.0,215.0,0.0,495.0,1998.0,0.0,3496.0,125.0,0.0,6.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,2.0,333.0,0.0,36.0,7.0,0.0,0.0,7.0,18.0,1
SRR5796756,0.0,90.0,0.0,360.0,23.0,0.0,890.0,1049.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,9.0,1
SRR5796757,0.0,593.0,3.0,1223.0,70.0,0.0,2843.0,421.0,0.0,6.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,248.0,0.0,20.0,0.0,0.0,0.0,3.0,9.0,1
SRR5796758,0.0,2050.0,0.0,77.0,173.0,0.0,1740.0,212.0,0.0,1.0,0.0,0.0,0.0,1.0,34.0,0.0,0.0,14.0,59.0,0.0,4.0,4.0,0.0,0.0,2.0,22.0,1
SRR5796759,0.0,59.0,0.0,211.0,51.0,3.0,1885.0,287.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1
SRR5796760,0.0,279.0,2.0,41.0,43.0,1.0,2903.0,113.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,467.0,0.0,4.0,0.0,0.0,0.0,5.0,10.0,1
