acc,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Chitinophagia,Chlamydiia,Clostridia,Coriobacteriia,Cytophagia,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Magnoliopsida,Mammalia,Methanobacteria,Negativicutes,Spirochaetia,class
SRR12162601,0.0,0.0,19.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162603,0.0,0.0,0.0,244.0,0.0,0.0,0.0,173.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162604,0.0,0.0,74.0,656.0,0.0,0.0,0.0,493.0,7.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,13.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162606,0.0,0.0,30.0,36.0,0.0,0.0,0.0,73.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162607,0.0,0.0,35.0,0.0,0.0,0.0,0.0,494.0,220.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162608,0.0,0.0,26.0,1.0,0.0,0.0,0.0,293.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162610,0.0,0.0,19.0,254.0,0.0,0.0,0.0,200.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162612,0.0,0.0,7.0,138.0,0.0,0.0,0.0,339.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162614,0.0,0.0,21.0,469.0,0.0,0.0,0.0,766.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162615,0.0,0.0,0.0,262.0,0.0,0.0,0.0,192.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162618,0.0,0.0,15.0,1.0,0.0,0.0,0.0,134.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1
SRR12162619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,5.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR12162621,0.0,0.0,0.0,478.0,0.0,0.0,0.0,116.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,1
SRR12162623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
