acc,Acholeplasmatales,Acidaminococcales,Acidobacteriales,Actinomycetales,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Clostridiales,Coriobacteriales,Corynebacteriales,Cytophagales,Dehalococcoidales,Desulfovibrionales,Desulfurellales,Eggerthellales,Elusimicrobiales,Enterobacterales,Entomoplasmatales,Erysipelotrichales,Eurotiales,Flavobacteriales,Fusobacteriales,Lactobacillales,Methanobacteriales,Micrococcales,Mycoplasmatales,Nautiliales,Neisseriales,Pasteurellales,Propionibacteriales,Pseudomonadales,Rhizobiales,Rhodobacterales,Rhodocyclales,Rickettsiales,Rosales,Selenomonadales,Spirochaetales,Synergistales,Thermales,Thiotrichales,Tissierellales,Veillonellales,class
SRR5796787,5.0,0.0,0.0,0.0,0.0,80.0,29.0,0.0,0.0,1829.0,15.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,150.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,10.0,0.0,1
SRR5796788,1.0,0.0,0.0,0.0,2.0,128.0,152.0,0.0,0.0,6644.0,11.0,2.0,0.0,0.0,4.0,0.0,32.0,0.0,2.0,0.0,17.0,0.0,1.0,2.0,73.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1
SRR5796789,0.0,0.0,0.0,0.0,45.0,63.0,87.0,0.0,0.0,1998.0,0.0,0.0,0.0,0.0,1.0,0.0,134.0,1.0,3.0,0.0,16.0,0.0,0.0,2.0,363.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,5.0,1
SRR5796790,0.0,0.0,0.0,10.0,0.0,74.0,349.0,0.0,0.0,1907.0,77.0,24.0,0.0,1.0,0.0,0.0,8.0,0.0,5.0,0.0,7.0,0.0,0.0,7.0,99.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,4.0,1
SRR5796791,2.0,0.0,0.0,18.0,15.0,172.0,1167.0,0.0,0.0,2097.0,50.0,19.0,0.0,0.0,0.0,0.0,67.0,0.0,35.0,0.0,8.0,0.0,0.0,1.0,535.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,79.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,16.0,416.0,1
SRR5796792,2.0,0.0,0.0,7.0,0.0,213.0,1513.0,0.0,0.0,5052.0,24.0,0.0,0.0,3.0,0.0,0.0,97.0,0.0,0.0,0.0,7.0,0.0,1.0,9.0,471.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,5.0,0.0,0.0,19.0,3.0,1
SRR5796793,0.0,0.0,0.0,4.0,3.0,107.0,4.0,1.0,0.0,2782.0,3.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,20.0,0.0,111.0,0.0,0.0,0.0,131.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,1
SRR5796794,0.0,0.0,0.0,5.0,0.0,190.0,112.0,2.0,0.0,1085.0,14.0,0.0,0.0,1.0,0.0,0.0,101.0,0.0,323.0,1.0,6.0,0.0,0.0,11.0,161.0,109.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,13.0,5.0,1
SRR5796795,0.0,0.0,0.0,5.0,16.0,219.0,14.0,0.0,0.0,1451.0,14.0,1.0,0.0,1.0,0.0,0.0,47.0,0.0,0.0,0.0,10.0,0.0,1.0,4.0,159.0,0.0,6.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,10.0,17.0,1
SRR5796796,2.0,0.0,0.0,0.0,24.0,18.0,7.0,0.0,0.0,3128.0,3.0,0.0,0.0,2.0,0.0,0.0,154.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,137.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,1
SRR5796797,4.0,0.0,0.0,5.0,0.0,93.0,1598.0,0.0,0.0,2109.0,8.0,0.0,0.0,8.0,0.0,0.0,114.0,1.0,0.0,2.0,11.0,0.0,0.0,5.0,3324.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,24.0,2.0,1
SRR5796798,10.0,0.0,0.0,0.0,1.0,1650.0,35.0,0.0,0.0,2119.0,10.0,19.0,0.0,0.0,7.0,0.0,75.0,0.0,5.0,0.0,4.0,0.0,1.0,1.0,202.0,352.0,3.0,11.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,19.0,0.0,1
SRR5796799,1.0,0.0,0.0,0.0,0.0,1050.0,169.0,1.0,4.0,2057.0,45.0,3.0,0.0,1.0,7.0,0.0,73.0,0.0,30.0,1.0,12.0,0.0,0.0,15.0,280.0,0.0,9.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,6.0,0.0,0.0,29.0,9.0,1
SRR5796800,3.0,0.0,0.0,0.0,5.0,265.0,164.0,0.0,0.0,1687.0,14.0,0.0,0.0,1.0,1.0,0.0,9.0,2.0,1.0,0.0,4.0,0.0,1.0,4.0,40.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1
SRR5796801,0.0,0.0,0.0,6.0,2.0,270.0,180.0,0.0,0.0,4045.0,12.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,11.0,1.0,0.0,9.0,178.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,91.0,1
SRR5796802,0.0,1.0,0.0,0.0,5.0,83.0,4.0,0.0,0.0,918.0,2.0,7.0,0.0,0.0,1.0,0.0,11.0,0.0,274.0,0.0,16.0,0.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1
SRR5796803,0.0,0.0,0.0,19.0,19.0,722.0,70.0,0.0,3.0,2462.0,53.0,4.0,0.0,0.0,2.0,0.0,56.0,0.0,29.0,0.0,112.0,0.0,2.0,5.0,298.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,39.0,18.0,1
SRR5796804,0.0,0.0,0.0,1.0,3.0,445.0,57.0,0.0,0.0,406.0,1.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,1
SRR5796805,0.0,0.0,0.0,0.0,0.0,114.0,5.0,0.0,0.0,1770.0,0.0,1.0,0.0,0.0,2.0,0.0,15.0,1.0,0.0,0.0,7.0,0.0,2.0,1.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,3.0,1
