acc,Actinobacteria,Armatimonadetes,Bacteroidetes,Candidatus Melainabacteria,Chordata,Cyanobacteria,Euryarchaeota,Firmicutes,Fusobacteria,Ignavibacteriae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Streptophyta,Synergistetes,Thaumarchaeota,class
SRR11807185,442.0,0.0,142.0,0.0,0.0,0.0,394.0,71469.0,0.0,0.0,0.0,0.0,46907.0,0.0,0.0,0.0,0.0,1
SRR11807186,1299.0,0.0,46.0,0.0,1.0,0.0,986.0,44492.0,0.0,0.0,0.0,0.0,50812.0,0.0,0.0,0.0,0.0,1
SRR11807187,143.0,0.0,15314.0,0.0,0.0,0.0,0.0,2332.0,0.0,0.0,0.0,0.0,9822.0,0.0,0.0,0.0,0.0,1
SRR11807188,299.0,0.0,0.0,0.0,0.0,0.0,0.0,52368.0,5.0,0.0,0.0,0.0,37641.0,0.0,0.0,0.0,0.0,1
SRR11807189,701.0,0.0,4.0,0.0,0.0,0.0,0.0,18748.0,20.0,0.0,0.0,0.0,44075.0,0.0,0.0,0.0,0.0,1
SRR11807190,296.0,0.0,0.0,0.0,0.0,0.0,0.0,34152.0,0.0,0.0,0.0,0.0,51907.0,0.0,0.0,0.0,0.0,1
SRR11807191,609.0,0.0,312.0,0.0,0.0,0.0,0.0,33751.0,5.0,0.0,0.0,0.0,30446.0,0.0,0.0,0.0,0.0,1
SRR11807192,1208.0,0.0,0.0,0.0,0.0,0.0,0.0,53998.0,0.0,0.0,0.0,0.0,35148.0,0.0,0.0,0.0,0.0,1
SRR11807193,431.0,0.0,158199.0,0.0,2.0,0.0,1370.0,100517.0,0.0,0.0,0.0,0.0,11397.0,0.0,0.0,0.0,0.0,1
SRR11807194,110.0,0.0,121.0,0.0,0.0,0.0,0.0,22222.0,0.0,0.0,0.0,0.0,28515.0,2.0,0.0,0.0,0.0,1
SRR11807195,377.0,0.0,208.0,0.0,0.0,0.0,0.0,41120.0,0.0,0.0,0.0,0.0,11128.0,1.0,0.0,0.0,0.0,1
SRR11807196,251.0,0.0,242.0,0.0,0.0,0.0,0.0,38774.0,0.0,0.0,0.0,0.0,10200.0,0.0,0.0,0.0,0.0,1
SRR11807197,2156.0,0.0,376.0,0.0,0.0,0.0,0.0,57798.0,0.0,0.0,0.0,0.0,47172.0,0.0,0.0,4.0,0.0,1
SRR11807198,1793.0,0.0,0.0,0.0,0.0,0.0,0.0,26240.0,0.0,0.0,0.0,0.0,15733.0,0.0,0.0,0.0,0.0,1
SRR11807199,1375.0,0.0,197.0,0.0,0.0,0.0,0.0,85919.0,0.0,0.0,0.0,0.0,78816.0,0.0,0.0,0.0,0.0,1
SRR11807200,1523.0,0.0,222.0,0.0,1.0,0.0,0.0,88450.0,0.0,0.0,0.0,0.0,60712.0,0.0,0.0,0.0,0.0,1
SRR11807201,5813.0,0.0,78.0,0.0,0.0,0.0,0.0,31408.0,0.0,0.0,0.0,0.0,13402.0,0.0,0.0,0.0,0.0,1
SRR11807202,970.0,0.0,344.0,0.0,0.0,0.0,0.0,40378.0,0.0,0.0,0.0,0.0,44784.0,0.0,0.0,0.0,0.0,1
SRR11807203,5941.0,0.0,488.0,0.0,0.0,0.0,0.0,39506.0,0.0,0.0,0.0,0.0,43809.0,1.0,0.0,0.0,0.0,1
