acc,Acidobacteriia,Actinomycetia,Alphaproteobacteria,Anaerolineae,Aquificae,Bacilli,Bacteroidia,Balneolia,Betaproteobacteria,Blastocatellia,Chitinophagia,Chlamydiia,Chloroflexia,Chthonomonadetes,Clostridia,Coriobacteriia,Cytophagia,Deferribacteres,Deinococci,Deltaproteobacteria,Epsilonproteobacteria,Erysipelotrichia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Lentisphaeria,Methanobacteria,Methanomicrobia,Mollicutes,Negativicutes,Nitrososphaeria,Nitrospira,Oligoflexia,Opitutae,Planctomycetia,Rubrobacteria,Saprospiria,Sphingobacteriia,Spirochaetia,Synergistia,Thermodesulfobacteria,Thermoleophilia,Thermoplasmata,Thermoprotei,Thermotogae,Tissierellia,Verrucomicrobiae,Vicinamibacteria,class
SRR17641763,0.0,48.0,0.0,0.0,0.0,788.0,9103.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,8278.0,50.0,0.0,0.0,1.0,0.0,217.0,387.0,0.0,7.0,7531.0,0.0,0.0,0.0,0.0,719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641764,0.0,3.0,0.0,0.0,0.0,4.0,24918.0,0.0,1144.0,0.0,1.0,0.0,0.0,0.0,253.0,19.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,76.0,201.0,0.0,0.0,0.0,0.0,2169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,1
SRR17641765,0.0,192.0,1.0,0.0,0.0,56.0,28752.0,0.0,667.0,1.0,0.0,0.0,0.0,0.0,1192.0,180.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,626.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
SRR17641766,0.0,171.0,1.0,0.0,0.0,1007.0,6695.0,0.0,442.0,0.0,0.0,0.0,1.0,0.0,9970.0,778.0,0.0,0.0,0.0,364.0,0.0,771.0,0.0,87.0,1138.0,0.0,0.0,0.0,0.0,1496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641767,0.0,121.0,0.0,0.0,0.0,374.0,28665.0,0.0,725.0,1.0,1.0,0.0,0.0,0.0,7279.0,102.0,0.0,0.0,0.0,4.0,0.0,55.0,0.0,1.0,176.0,0.0,1.0,0.0,0.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1
SRR17641768,0.0,11.0,1.0,0.0,0.0,28.0,41062.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,4826.0,16.0,0.0,0.0,0.0,4.0,1.0,36.0,1.0,0.0,43.0,0.0,2.0,0.0,0.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641769,0.0,94.0,1.0,0.0,0.0,177.0,20396.0,0.0,657.0,0.0,0.0,0.0,0.0,0.0,2853.0,118.0,0.0,0.0,0.0,2.0,5.0,35.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,3529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR17641770,0.0,13.0,2.0,0.0,0.0,174.0,17487.0,1.0,95.0,0.0,1.0,0.0,0.0,0.0,2584.0,157.0,1.0,0.0,0.0,0.0,1.0,108.0,1.0,0.0,42.0,0.0,0.0,0.0,0.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR17641771,0.0,11.0,3.0,0.0,0.0,1.0,32118.0,0.0,596.0,0.0,0.0,0.0,0.0,0.0,513.0,3.0,1.0,0.0,0.0,90.0,0.0,20.0,1.0,30.0,219.0,0.0,0.0,0.0,0.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,3706.0,0.0,1
SRR17641772,0.0,0.0,0.0,0.0,0.0,8.0,18494.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,6108.0,40.0,0.0,0.0,0.0,5.0,0.0,267.0,0.0,2.0,13.0,0.0,2.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
